"version", "jit", "type", "avg", "median", "min", "max"
7.4.33,0,'function',   40.55,   38.25,   33.14,   72.08
7.4.33,0,'closure',   38.25,   38.03,   32.91,   55.49
7.4.33,0,'new class',   85.23,   82.65,   73.14,  103.42
7.4.33,0,'new class with use',   47.44,   47.32,   41.41,   56.70
7.4.33,0,'static method',   38.92,   38.65,   35.23,   50.23
7.4.33,0,'call user func string',   59.08,   58.64,   49.66,   81.55
7.4.33,0,'call user closure',  123.33,  119.70,  110.74,  155.11
7.4.33,0,'call user new class',  151.32,  146.73,  139.03,  189.59
7.4.33,0,'call user new class with use',  155.52,  151.93,  110.40,  223.62
7.4.33,0,'call user static method',  150.57,  136.00,  122.53,  215.53
7.4.33,0,'call user static method string',  200.40,  198.14,  182.78,  252.61
8.0.10,0,'function',   37.61,   36.79,   33.06,   56.28
8.0.10,0,'closure',   36.40,   36.32,   32.10,   41.74
8.0.10,0,'new class',   84.17,   84.88,   67.74,  123.22
8.0.10,0,'new class with use',   43.32,   43.10,   39.57,   50.77
8.0.10,0,'static method',   39.38,   38.99,   35.13,   53.26
8.0.10,0,'call user func string',   57.30,   57.03,   50.90,   65.76
8.0.10,0,'call user closure',  121.65,  121.42,  113.56,  136.58
8.0.10,0,'call user new class',  165.59,  154.56,  142.27,  242.34
8.0.10,0,'call user new class with use',  125.05,  122.88,  116.94,  155.12
8.0.10,0,'call user static method',  141.98,  138.07,  130.96,  172.33
8.0.10,0,'call user static method string',  227.98,  214.79,  175.99,  387.46
8.1.8,0,'function',   55.84,   54.78,   42.71,   74.44
8.1.8,0,'closure',   48.72,   47.85,   37.68,   81.27
8.1.8,0,'new class',  105.87,  102.74,   90.80,  160.99
8.1.8,0,'new class with use',   66.89,   64.30,   49.71,  104.42
8.1.8,0,'static method',   63.99,   62.95,   52.06,   89.56
8.1.8,0,'call user func string',   81.23,   80.42,   72.68,   97.87
8.1.8,0,'call user closure',  179.41,  177.07,  159.37,  286.78
8.1.8,0,'call user new class',  213.11,  211.39,  196.34,  261.30
8.1.8,0,'call user new class with use',  167.19,  166.67,  138.96,  198.99
8.1.8,0,'call user static method',  147.77,  146.96,  136.97,  176.96
8.1.8,0,'call user static method string',  211.43,  210.15,  199.88,  246.94
8.2.3,0,'function',   55.22,   55.43,   47.51,   65.04
8.2.3,0,'closure',   54.19,   54.03,   47.49,   77.24
8.2.3,0,'new class',  110.35,  109.64,  100.08,  145.22
8.2.3,0,'new class with use',   65.67,   65.53,   57.79,   73.48
8.2.3,0,'static method',   57.70,   58.05,   43.98,   63.56
8.2.3,0,'call user func string',   85.69,   85.55,   67.35,  103.60
8.2.3,0,'call user closure',  183.53,  183.32,  150.91,  259.40
8.2.3,0,'call user new class',  190.95,  190.47,  157.02,  247.98
8.2.3,0,'call user new class with use',  137.37,  130.55,  120.45,  188.13
8.2.3,0,'call user static method',  107.83,  107.81,   89.26,  134.67
8.2.3,0,'call user static method string',  154.88,  148.80,  138.64,  209.37
8.3.11,0,'function',   36.28,   36.10,   30.97,   45.27
8.3.11,0,'closure',   44.81,   42.53,   31.89,   77.44
8.3.11,0,'new class',   80.63,   78.22,   71.81,  107.45
8.3.11,0,'new class with use',   42.97,   41.90,   37.40,   68.71
8.3.11,0,'static method',   34.93,   34.44,   31.16,   43.09
8.3.11,0,'call user func string',   52.20,   51.78,   45.81,   70.88
8.3.11,0,'call user closure',  128.82,  124.91,  113.00,  204.22
8.3.11,0,'call user new class',  201.68,  195.12,  156.74,  277.30
8.3.11,0,'call user new class with use',  148.09,  149.28,  113.31,  190.55
8.3.11,0,'call user static method',  116.41,  116.62,   96.35,  140.45
8.3.11,0,'call user static method string',  157.95,  153.67,  135.85,  195.98
8.3.12,0,'function',   44.66,   43.95,   32.93,   68.40
8.3.12,0,'closure',   43.95,   43.65,   34.67,   70.38
8.3.12,0,'new class',   85.28,   83.80,   70.51,  120.13
8.3.12,0,'new class with use',   53.10,   53.31,   40.24,   69.76
8.3.12,0,'static method',   48.10,   45.98,   35.60,   72.59
8.3.12,0,'call user func string',   69.34,   68.47,   55.21,   96.33
8.3.12,0,'call user closure',  156.69,  153.03,  121.65,  239.17
8.3.12,0,'call user new class',  194.58,  187.88,  148.36,  268.92
8.3.12,0,'call user new class with use',  147.51,  144.07,  109.74,  211.71
8.3.12,0,'call user static method',  115.40,  110.39,   96.20,  160.02
8.3.12,0,'call user static method string',  163.08,  158.81,  150.78,  201.18
8.3.13,0,'function',   37.70,   37.31,   31.69,   53.85
8.3.13,0,'closure',   35.86,   35.71,   30.78,   41.16
8.3.13,0,'new class',   79.12,   75.66,   69.59,  126.21
